Municipio,Grande.regiao,Num.Casos,Num.obitos,Pop,Grau.Urb,Infect.100mil,obitos.100mil
Marília,Interior,9,1,231554,95.51,3.88678234882576,0.431864705425084
Martinópolis,Interior,1,0,25668,86.92,3.89590151160979,0
Matão,Interior,3,0,80020,98.17,3.74906273431642,0
Mauá,RMSP,158,12,460132,100,34.3379725817809,2.60794728469222
Miguelópolis,Interior,1,0,21424,95.5,4.66766243465273,0
Mineiros do Tietê,Interior,4,1,12597,95.53,31.7535921251092,7.93839803127729
Miracatu,Interior,4,2,19934,54.01,20.0662185211197,10.0331092605598
Mirandópolis,Interior,6,2,28646,91.33,20.9453326817008,6.98177756056692
Mirassol,Interior,6,0,57824,97.47,10.3763143331489,0
Mococa,Interior,2,1,66753,95.03,2.99612002456818,1.49806001228409
Mogi das Cruzes,RMSP,176,19,432905,92.75,40.6555710837251,4.3889536965385
Mogi Guaçu,Interior,17,1,148325,95.94,11.4613180515759,0.674195179504467
Mogi Mirim,Interior,4,0,90439,95.74,4.4228706642046,0
Mongaguá,Interior,7,1,54610,99.56,12.8181651712141,1.83116645303058
Monte Alto,Interior,12,1,48405,96.89,24.7908273938643,2.06590228282202
Monte Azul Paulista,Interior,1,0,18191,95.38,5.49722390192953,0
Monte Mor,Interior,4,0,59614,95.51,6.70983326064347,0
Morro Agudo,Interior,1,0,32332,97.61,3.09291104787826,0
Morungaba,Interior,5,0,13247,90.12,37.7443949573488,0
Nazaré Paulista,Interior,4,1,18445,96.56,21.6860937923557,5.42152344808891
Nhandeara,Interior,1,0,10782,84,9.27471712112781,0
Nova Odessa,Interior,4,1,58039,98.37,6.89191750374748,1.72297937593687
Olímpia,Interior,4,0,52516,95.49,7.61672633102293,0
Orlândia,Interior,4,0,42266,97.42,9.46387166990016,0
Osasco,RMSP,598,62,680964,100,87.8166834076398,9.10473975129375
Ourinhos,Interior,16,2,110489,97.42,14.4810795644815,1.81013494556019
Palmital,Interior,1,0,21599,94.59,4.62984397425807,0
Pariquera-Açu,Interior,15,1,19251,70.7,77.9180302321957,5.19453534881305
Paulínia,Interior,11,1,105037,99.91,10.472500166608,0.952045469691632
Paulistânia,Interior,1,0,1769,77.95,56.5291124929339,0
Pederneiras,Interior,2,1,45570,93,4.3888523151196,2.1944261575598
Pedro de Toledo,Interior,2,0,10977,70.68,18.2199143664025,0
Penápolis,Interior,2,1,60774,96.88,3.29088096883536,1.64544048441768
Peruíbe,Interior,14,0,66201,99.39,21.147716801861,0
Pilar do Sul,Interior,2,0,28221,83.24,7.08692108713369,0
Pindamonhangaba,Interior,9,1,163611,97.27,5.50085263215798,0.611205848017554
Pindorama,Interior,4,0,16255,94.65,24.6078129806213,0
Pinhalzinho,Interior,1,0,14755,50.35,6.77736360555744,0
Piracaia,Interior,2,1,26287,100,7.60832350591547,3.80416175295774
Piracicaba,Interior,47,5,389873,98.18,12.0552077214888,1.28246890654136
Piraju,Interior,7,0,28574,92.13,24.4977951984321,0
Pirajuí,Interior,1,0,23259,82.01,4.29941098069564,0
Pirapora do Bom Jesus,RMSP,3,0,18851,100,15.914275104769,0
Pirassununga,Interior,5,0,73706,93.67,6.78370824627574,0
Piratininga,Interior,4,0,13213,87.57,30.2732157723454,0
Pitangueiras,Interior,1,1,38584,97.49,2.59174787476674,2.59174787476674
Poá,RMSP,39,4,115538,98.42,33.7551281829355,3.46206442901902
Pontal,Interior,4,1,49283,98.99,8.11638901852566,2.02909725463141
Populina,Interior,1,0,3995,83.88,25.0312891113892,0
Porto Feliz,Interior,7,0,51697,87.08,13.5404375495677,0
Porto Ferreira,Interior,2,1,54102,98.21,3.69672100846549,1.84836050423275
Pradópolis,Interior,1,0,20907,93.28,4.78308700435261,0
Praia Grande,Interior,98,14,316844,100,30.9300475943998,4.41857822777139
Pratânia,Interior,2,0,5156,81.52,38.7897595034911,0
Presidente Alves,Interior,1,0,4020,87.99,24.8756218905473,0
Presidente Prudente,Interior,15,2,221073,97.96,6.78508908821973,0.904678545095964
Presidente Venceslau,Interior,11,6,38005,97.02,28.9435600578871,15.7873963952112
Promissão,Interior,3,0,39667,85.98,7.56296165578441,0
Quatá,Interior,2,0,13935,94.97,14.3523501973448,0
Quintana,Interior,1,0,6500,92.45,15.3846153846154,0
Rancharia,Interior,3,0,28847,91.82,10.3996949422817,0
Registro,Interior,8,3,54216,88.77,14.7557916482219,5.53342186808322
Ribeirão Pires,RMSP,49,2,118968,100,41.1875462309192,1.68112433595589
Ribeirão Preto,Interior,99,6,683777,99.72,14.4784045090724,0.877479061155903
Rinópolis,Interior,1,0,9720,91.67,10.2880658436214,0
Rincão,Interior,1,1,10496,82.46,9.52743902439024,9.52743902439024
Rio Claro,Interior,16,7,201212,97.82,7.95181201916387,3.47891775838419
Rio Grande da Serra,RMSP,18,0,49816,100,36.1329693271238,0
São Bernardo do Campo,RMSP,511,35,812086,98.39,62.924370079031,4.30988836157747
São Caetano do Sul,RMSP,138,9,151244,100,91.2432889899765,5.95064928195499
São Carlos,Interior,15,3,242632,96,6.18220185301197,1.23644037060239
São João da Boa Vista,Interior,15,0,87340,97.37,17.1742615067552,0
São Joaquim da Barra,Interior,2,0,50274,98.23,3.97819946692127,0
São José do Rio Pardo,Interior,3,0,53206,92.17,5.63846182761343,0
São José do Rio Preto,Interior,82,8,447924,93.93,18.3066770255668,1.78601727078701
São José dos Campos,Interior,185,5,710654,97.97,26.0323589257219,0.703577268262755
São Lourenço da Serra,RMSP,3,1,15579,93.07,19.2566917003659,6.41889723345529
São Manuel,Interior,7,1,39574,98.66,17.6883812604235,2.52691160863193
São Miguel Arcanjo,Interior,3,0,32000,76.82,9.375,0
São Paulo,Capital,13989,1172,11869660,99.1,117.855102842036,9.87391382735479
São Pedro,Interior,1,0,34208,87.02,2.92329279700655,0
São Roque,Interior,19,1,87435,96.7,21.7304283181792,1.14370675358838
São Sebastião,Interior,29,2,87135,98.87,33.2816893326447,2.29528891949274
São Sebastião da Grama,Interior,1,0,11936,71.12,8.37801608579088,0
São Vicente,Interior,110,1,357929,99.81,30.7323519468945,0.279385017699041
Salesópolis,RMSP,1,1,16838,66.36,5.938947618482,5.938947618482
Salto,Interior,6,0,115372,99.3,5.20056859549977,0
Salto de Pirapora,Interior,8,0,44223,78.71,18.090134093119,0
Santa Bárbara d'Oeste,Interior,2,1,188745,99.21,1.05963071869454,0.529815359347268
Santa Branca,Interior,2,1,14179,88.21,14.1053670921786,7.05268354608929
Santa Cruz da Conceição,Interior,1,0,4349,78.13,22.9937916762474,0
Santa Cruz do Rio Pardo,Interior,8,0,46110,93.85,17.3498156582086,0
Santa Fé do Sul,Interior,2,0,30804,96.06,6.49266329048176,0
Santa Gertrudes,Interior,1,0,26189,98.94,3.8183970369239,0
Santa Isabel,RMSP,11,5,55086,81.17,19.9687760955597,9.07671640707258
Santa Lúcia,Interior,4,0,8562,95.87,46.7180565288484,0
Santa Rita do Passa Quatro,Interior,1,1,26385,91.96,3.79003221527383,3.79003221527383
Santana de Parnaíba,RMSP,85,3,138132,100,61.5353430052414,2.17183563547911
Santo André,RMSP,378,20,693867,100,54.4772989636342,2.88239677056266
Santo Antônio da Alegria,Interior,1,1,6637,75.32,15.0670483652253,15.0670483652253
Santo Antônio do Aracanguá,Interior,1,0,8252,86.94,12.1182743577315,0
Santo Antônio do Pinhal,Interior,2,0,6628,69.87,30.1750150875075,0
Santos,Interior,463,27,428703,99.93,108.000177278909,6.29806649358647
Serra Negra,Interior,1,0,27440,87.09,3.64431486880466,0
Serrana,Interior,2,2,44434,99.44,4.50105774857091,4.50105774857091
Sertãozinho,Interior,11,2,122355,99.52,8.9902333374198,1.63458787953087
Socorro,Interior,1,0,38783,71.58,2.5784493205786,0
Sorocaba,Interior,85,15,658547,98.98,12.9072032823777,2.27774175571371
Sumaré,Interior,17,0,283212,98.82,6.0025705125489,0
Suzano,RMSP,118,12,291002,96.48,40.5495494876324,4.12368299874228
Taboão da Serra,RMSP,160,13,283871,100,56.3636299586784,4.57954493414262
Taiaçu,Interior,2,0,6037,93.24,33.1290376014577,0
Tanabi,Interior,1,0,25105,93.12,3.98327026488747,0
Taquarituba,Interior,1,0,23193,91.14,4.31164575518475,0
Tarabai,Interior,2,0,7269,94.02,27.5141009767506,0
Tatuí,Interior,11,0,120123,97.15,9.15728045420111,0
Taubaté,Interior,33,4,307361,97.96,10.736560591617,1.30140128383237
Terra Roxa,Interior,1,0,9121,96.25,10.9637101195044,0
Tuiuti,Interior,1,0,6557,54.29,15.2508769254232,0
Tupã,Interior,2,0,62843,95.99,3.18253425202489,0
Ubatuba,Interior,12,0,88916,97.67,13.4958837554546,0
Várzea Paulista,Interior,12,2,120535,100,9.95561455178994,1.65926909196499
Valinhos,Interior,22,4,124742,95.63,17.6364015327636,3.20661846050248
Vargem Grande Paulista,RMSP,11,3,52762,100,20.8483378188848,5.68591031424131
Vinhedo,Interior,27,2,77521,96.86,34.8292720682138,2.57994607912695
Vista Alegre do Alto,Interior,1,0,8014,94.76,12.4781632143748,0
Votorantim,Interior,10,2,119824,96.19,8.34557350781146,1.66911470156229
Votuporanga,Interior,16,0,91760,97.2,17.43679163034,0
